NOME_MUNICIPIO [-],CODIGO [-],GENTILICO [-],PREFEITO [2017],AREA - AREA [2018],POPESTIMADA - POPESTIMADA [2018],DENSIDADE - DENSIDADE [2010],ESCOLARIZACAO - PORCENTO [2010],IDHM [2010],MORTALIDADE - MORTALIDADE [2014],RECEITAS - REAL_MIL [2017],DESPESAS - REAL_MIL [2017],PIB - REAL [2016],
Piracema,3150604,piracemense,ANTONIO OSMAR DA SILVA,280.335,6421,22.85,98.7,0.646,-,20120.05852,18184.66734,15369.47,
Pirajuba,3150703,pirajubense,RUI GOMES NOGUEIRA RAMOS,337.98,6044,13.78,95.9,0.723,-,28123.29805,25232.60279,43359.63,
Piranga,3150802,piranguense,JOSÉ CARLOS DE OLIVEIRA MARQUES,658.812,17618,26.16,96.3,0.6,18.99,33792.36876,32688.40059,8529.85,
Piranguçu,3150901,piranguçuense,RICARDO MARTINS DE ARAUJO,203.619,5455,25.62,99.6,0.685,31.25,15339.61971,17085.0036,10019.99,
Piranguinho,3151008,piranguinhense,HELENA MARIA DA SILVEIRA,124.803,8550,64.23,99.2,0.717,28.57,20979.20588,18729.23441,11429.06,
Pirapetinga,3151107,pirapetinguense,ENOGHALLITON DE ABREU ARRUDA,190.681,10731,54.35,99.8,0.709,17.14,31522.68677,27838.01842,42537.98,
Pirapora,3151206,piraporense,MARCELLA MACHADO RIBAS FONSECA,549.514,56208,97.12,98.3,0.731,12.09,173984.4211,156157.0325,29847.47,
Piraúba,3151305,piraubano,ADRIANO CARVALHAES GRAVINA,144.289,10816,75.28,96.6,0.684,22.9,25808.56709,24733.49396,13670.46,
Pitangui,3151404,pitanguense,MARCILIO VALADARES,569.636,27755,44.44,95.5,0.725,6.47,56181.59852,50237.74937,14907.58,
Piumhi,3151503,piuiense,ADEBERTO JOSE DE MELO,902.468,34456,35.33,99.2,0.737,10.78,91383.35966,78482.53312,25503.35,
Planura,3151602,planurense,PAULO ROBERTO BARBOSA,317.52,11968,32.7,97.6,0.712,13.42,39956.28608,34737.52643,36207.51,
