Cliente, TEC, tempo relógio, TS, tempo início serviço, tempo cliente na fila, tempo final do serviço, tempo cliente no sistema, tempo livre do operador, esperou na fila, quantidade de clientes no sistema
0,4.394682493460757,4.394682493460757,1.1610605965434502,1.1610605965434502,-3.233621896917307,2.3221211930869003,-2.0725613003738568,4.394682493460757,0,1
1,8.939337582655465,13.334020076116222,5.707307495306592,13.334020076116222,0.0,19.041327571422812,5.707307495306592,11.011898883029321,0,1
2,5.168924924108209,18.50294500022443,10.361895880525775,19.041327571422812,0.5383825711983832,29.403223451948588,10.900278451724159,0.0,1,2
3,4.1231366754898255,22.626081675714254,9.780095750627117,29.403223451948588,6.777141776234334,39.1833192025757,16.55723752686145,0.0,1,2
4,5.748307827947163,28.374389503661416,10.522371291450815,39.1833192025757,10.808929698914287,49.70569049402652,21.3313009903651,0.0,1,3
5,8.2742277978461,36.648617301507514,11.017054987716266,49.70569049402652,13.057073192519006,60.722745481742784,24.07412818023527,0.0,1,3
6,8.475444239660941,45.12406154116846,6.434642929458456,60.722745481742784,15.598683940574325,67.15738841120124,22.03332687003278,0.0,1,3
7,6.327199352748756,51.451260893917215,1.0663527703542521,67.15738841120124,15.706127517284024,68.2237411815555,16.772480287638277,0.0,1,3
8,2.958094251439073,54.40935514535629,8.229639722767285,68.2237411815555,13.81438603619921,76.45338090432278,22.044025758966495,0.0,1,4
9,2.6165944926125038,57.02594963796879,5.780864595108941,76.45338090432278,19.42743126635399,82.23424549943172,25.208295861462933,0.0,1,5
10,7.5989248834233445,64.62487452139214,6.568817648947045,82.23424549943172,17.60937097803958,88.80306314837877,24.178188626986625,0.0,1,5
11,8.767707591242843,73.39258211263498,3.7276806837969225,88.80306314837877,15.410481035743786,92.53074383217569,19.138161719540708,0.0,1,4
12,2.635958387270465,76.02854049990545,2.911441565635098,92.53074383217569,16.50220333227024,95.44218539781079,19.41364489790534,0.0,1,5
13,1.858648010821872,77.88718851072731,7.96880563310852,95.44218539781079,17.554996887083476,103.4109910309193,25.523802520191996,0.0,1,5
14,6.014655075578872,83.90184358630619,11.305240326870033,103.4109910309193,19.50914744461312,114.71623135778934,30.814387771483155,0.0,1,5
15,5.542975353054105,89.44481893936029,10.544056029323436,114.71623135778934,25.27141241842905,125.26028738711278,35.81546844775249,0.0,1,5
16,1.3022948362724733,90.74711377563276,7.330874630723452,125.26028738711278,34.51317361148003,132.59116201783624,41.84404824220348,0.0,1,6
17,3.721139234220563,94.46825300985331,4.893828512731608,132.59116201783624,38.122909007982926,137.48499053056784,43.016737520714535,0.0,1,6
18,3.269900625983654,97.73815363583697,8.486697277989226,137.48499053056784,39.746836894730876,145.97168780855708,48.2335341727201,0.0,1,6
19,2.6597324630169963,100.39788609885396,9.936723811177464,145.97168780855708,45.57380170970312,155.90841161973455,55.510525520880584,0.0,1,7
20,3.407284713668849,103.8051708125228,2.4028172831082597,155.90841161973455,52.10324080721175,158.3112289028428,54.50605809032001,0.0,1,7
21,1.512909026136139,105.31807983865895,6.179400186508746,158.3112289028428,52.993149064183854,164.49062908935156,59.1725492506926,0.0,1,8
22,3.6367400340580653,108.95481987271701,5.589882865615373,164.49062908935156,55.53580921663455,170.08051195496694,61.12569208224992,0.0,1,9
23,5.719922853058916,114.67474272577593,2.064268973544243,170.08051195496694,55.40576922919101,172.14478092851118,57.47003820273525,0.0,1,10
24,5.501056270196557,120.17579899597249,1.9540180923139079,172.14478092851118,51.968981932538696,174.09879902082508,53.923000024852605,0.0,1,10
25,8.958934487641606,129.1347334836141,2.8308075881009405,174.09879902082508,44.964065537210985,176.92960660892604,47.79487312531192,0.0,1,10
26,6.8093911068471815,135.94412459046129,1.1639883452306616,176.92960660892604,40.98548201846475,178.09359495415669,42.149470363695414,0.0,1,10
27,6.574475745503902,142.51860033596517,2.4743142521898713,178.09359495415669,35.57499461819151,180.56790920634657,38.04930887038138,0.0,1,10
28,4.710065283053383,147.22866561901856,1.7879752215083649,180.56790920634657,33.33924358732801,182.35588442785493,35.127218808836375,0.0,1,10
29,1.4581321742048576,148.6867977932234,11.676335542428896,182.35588442785493,33.669086634631526,194.03221997028382,45.34542217706042,0.0,1,11
30,6.136845106426612,154.82364289965003,3.0663440229574555,194.03221997028382,39.208577070633794,197.09856399324127,42.274921093591246,0.0,1,12
31,2.905825788629108,157.72946868827913,3.4610626326849507,197.09856399324127,39.369095304962144,200.55962662592623,42.830157937647094,0.0,1,12
32,8.669464205093396,166.39893289337252,4.84252997185164,200.55962662592623,34.16069373255371,205.40215659777786,39.00322370440535,0.0,1,11
33,7.275827802392578,173.6747606957651,11.494924207214003,205.40215659777786,31.727395902012773,216.89708080499187,43.22232010922678,0.0,1,10
34,6.188728946993654,179.86348964275874,9.777608434232889,216.89708080499187,37.03359116223314,226.67468923922476,46.811199596466025,0.0,1,8
35,1.061747613423746,180.92523725618247,5.8242483159135015,226.67468923922476,45.74945198304229,232.49893755513827,51.57370029895579,0.0,1,8
36,2.9583116342092017,183.88354889039167,10.79623291761446,232.49893755513827,48.615388664746604,243.29517047275272,59.411621582361064,0.0,1,8
37,7.739652670434295,191.62320156082595,8.845906336178697,243.29517047275272,51.67196891192677,252.14107680893142,60.51787524810547,0.0,1,9
38,6.905743640975293,198.52894520180124,7.369800122613357,252.14107680893142,53.61213160713018,259.5108769315448,60.981931729743536,0.0,1,8
39,8.97606800792326,207.5050132097245,2.0602847773519155,259.5108769315448,52.005863721820276,261.5711617088967,54.06614849917219,0.0,1,7
